date,equity
2024-05-19,2200.0
2024-05-20,2196.864477238619
2024-05-21,2125.2631610183294
2024-05-22,2154.994943883749
2024-05-23,2132.3318460303294
2024-05-24,2160.8638014403796
2024-05-25,2148.1355424436874
2024-05-26,2104.383432297562
2024-05-27,2066.653310630545
2024-05-28,2096.1884895545495
2024-05-29,2140.1682757037024
2024-05-30,2149.4978363736773
2024-05-31,2141.9774221072
2024-06-01,2111.630746829686
2024-06-02,2130.06679027438
2024-06-03,2138.3461709964836
2024-06-04,2112.020610634136
2024-06-05,2082.4884971153133
2024-06-06,2112.5399181392067
2024-06-07,2185.2825360774546
2024-06-08,2185.2825360774546
2024-06-09,2185.2825360774546
2024-06-10,2185.2825360774546
2024-06-11,2182.169027208774
2024-06-12,2218.5205326221235
2024-06-13,2158.7731473912813
2024-06-14,2165.276232941206
2024-06-15,2215.734011459399
2024-06-16,2248.285119650863
2024-06-17,2183.681851632798
2024-06-18,2167.2935502299506
2024-06-19,2212.0642707932143
2024-06-20,2183.509083177564
2024-06-21,2186.46088135001
2024-06-22,2173.8802753581194
2024-06-23,2128.7926200199536
2024-06-24,2088.347466867657
2024-06-25,2114.8389670656916
2024-06-26,2099.7202826804432
2024-06-27,2144.288188100607
2024-06-28,2102.180933070452
2024-06-29,2101.7855591055904
2024-06-30,2137.240361877868
2024-07-01,2141.64985777754
2024-07-02,2127.4571314174154
2024-07-03,2054.4202781539884
2024-07-04,1907.9324872638824
2024-07-05,1864.6201100907488
2024-07-06,1916.7560931983342
2024-07-07,1828.3917403075047
2024-07-08,1881.4175262372212
2024-07-09,1908.3035279877506
2024-07-10,1930.966662767563
2024-07-11,1929.8461772376236
2024-07-12,1949.9229074255031
2024-07-13,1975.467021617159
2024-07-14,2012.273228440916
2024-07-15,2012.273228440916
2024-07-16,2012.273228440916
2024-07-17,2012.273228440916
2024-07-18,2012.273228440916
2024-07-19,2012.273228440916
2024-07-20,2012.273228440916
2024-07-21,2012.273228440916
2024-07-22,2012.273228440916
2024-07-23,2012.273228440916
2024-07-24,2012.273228440916
2024-07-25,2012.273228440916
2024-07-26,2012.273228440916
2024-07-27,2012.273228440916
2024-07-28,2012.273228440916
2024-07-29,2012.273228440916
2024-07-30,2012.273228440916
2024-07-31,2012.273228440916
2024-08-01,2012.273228440916
2024-08-02,2009.4062167664417
2024-08-03,1956.534179419219
2024-08-04,1817.6876307952605
2024-08-05,1645.4353816195282
2024-08-06,1672.001845542798
2024-08-07,1593.849831255465
2024-08-08,1815.7384506994647
2024-08-09,1762.145449487363
2024-08-10,1768.815810289662
2024-08-11,1732.4890734766727
2024-08-12,1842.0243401695768
2024-08-13,1828.7403270986626
2024-08-14,1802.660494256454
2024-08-15,1743.2618202143406
2024-08-16,1758.0424386645707
2024-08-17,1771.7106012790903
2024-08-18,1770.9493321753944
2024-08-19,1786.2740713496491
2024-08-20,1745.1938159059898
2024-08-21,1779.9669412186536
2024-08-22,1779.9669412186536
2024-08-23,1779.9669412186536
2024-08-24,1779.9669412186536
2024-08-25,1779.9669412186536
2024-08-26,1779.9669412186536
2024-08-27,1777.4309108583002
2024-08-28,1825.3349605508643
2024-08-29,1825.5942451678322
2024-08-30,1823.5521900097317
2024-08-31,1815.009055568718
2024-09-01,1756.2424069101473
2024-09-02,1832.0520264370384
2024-09-03,1751.225375438138
2024-09-04,1770.7291167521544
2024-09-05,1714.8852518405824
2024-09-06,1611.4040297929557
2024-09-07,1646.0130136709931
2024-09-08,1661.9880341570965
2024-09-09,1704.1474267952476
2024-09-10,1725.5745670677609
2024-09-11,1691.3040277476114
2024-09-12,1706.4208255029278
2024-09-13,1761.4205893546982
2024-09-14,1745.5656729512648
2024-09-15,1678.251371726808
2024-09-16,1660.6036411593748
2024-09-17,1692.5898479267832
2024-09-18,1711.8964951094692
2024-09-19,1774.8210443109379
