date,equity
2024-05-12,2200.0
2024-05-13,2200.0
2024-05-14,2196.8655222388807
2024-05-15,2309.8983432639884
2024-05-16,2243.2486277284
2024-05-17,2351.2705992065125
2024-05-18,2372.1737436234657
2024-05-19,2335.119867133693
2024-05-20,2764.3527300016503
2024-05-21,2855.314305855226
2024-05-22,2817.543354633403
2024-05-23,2846.3343211029082
2024-05-24,2810.0876183426217
2024-05-25,2826.2574676879817
2024-05-26,2881.8396985169034
2024-05-27,2929.771657105766
2024-05-28,2892.2504695094485
2024-05-29,2836.3790014274614
2024-05-30,2824.5268234877217
2024-05-31,2834.0806804398185
2024-06-01,2872.632784659059
2024-06-02,2849.2118246438135
2024-06-03,2830.558997133723
2024-06-04,2797.563117459524
2024-06-05,2760.548214423098
2024-06-06,2798.214006090777
2024-06-07,2893.3364808560927
2024-06-08,2891.676339367311
2024-06-09,2873.82606357204
2024-06-10,2901.857236509117
2024-06-11,3022.3097051238824
2024-06-12,2978.4691162103754
2024-06-13,3043.0895910048166
2024-06-14,3035.227582847656
2024-06-15,2974.225853244572
2024-06-16,2926.81056735075
2024-06-17,2842.882844912118
2024-06-18,2821.5923923765863
2024-06-19,2879.7551560274974
2024-06-20,2842.658397087699
2024-06-21,2846.493151974133
2024-06-22,2830.1493718498527
2024-06-23,2771.5748703003005
2024-06-24,2719.031559537683
2024-06-25,2745.616678259272
2024-06-26,2725.9675670013276
2024-06-27,2775.9576405235694
2024-06-28,2721.427302865001
2024-06-29,2720.915280036871
2024-06-30,2766.8304641400778
2024-07-01,2764.643370976586
2024-07-02,2746.314492698895
2024-07-03,2651.9926859308835
2024-07-04,2469.8297533362215
2024-07-05,2414.107351623482
2024-07-06,2481.181531892939
2024-07-07,2374.211399962307
2024-07-08,2442.4817610716273
2024-07-09,2477.0973168076107
2024-07-10,2506.2759582583526
2024-07-11,2504.8333402866338
2024-07-12,2530.6820023250925
2024-07-13,2556.2821525250756
2024-07-14,2607.449016732033
2024-07-15,2795.248752754723
2024-07-16,2760.0263562198525
2024-07-17,2718.1314339060605
2024-07-18,2746.825498758452
2024-07-19,2807.6288992578716
2024-07-20,2818.003403005056
2024-07-21,2831.2464727278502
2024-07-22,2757.659667883028
2024-07-23,2789.4673539630153
2024-07-24,2670.3939698801046
2024-07-25,2793.745537225215
2024-07-26,2716.4000839937335
2024-07-27,2737.993378561416
2024-07-28,2719.8183325622754
2024-07-29,2682.4311225958695
2024-07-30,2714.330683973405
2024-07-31,2750.4207524925905
2024-08-01,2773.071252679143
2024-08-02,2937.2874255308407
2024-08-03,3000.2365430645473
2024-08-04,3165.5463769012827
2024-08-05,3370.6288292304635
2024-08-06,3338.998963163864
2024-08-07,3432.046263394818
2024-08-08,3167.8670585526975
2024-08-09,3231.6745511622453
2024-08-10,3223.732861240622
2024-08-11,3266.983247266781
2024-08-12,3136.5712426781265
2024-08-13,3152.387105695257
2024-08-14,3183.437591835259
2024-08-15,3254.157282265719
