entry_time,exit_time,entry_price,exit_price,direction,size,pnl,pnl_pct,duration
2024-07-13,2024-07-26,3178.787329833984,3274.3134403076174,long,0.6574834309878644,62.80683486313016,3.005111715939242,13 days
2024-07-26,2024-08-14,3274.3134403076174,2664.246252319336,short,0.6552933510315598,399.77297197124165,18.6319116697321,19 days
2024-08-14,2024-09-01,2664.246252319336,2426.6883925781253,long,0.9465053104821115,-224.8497757918203,-8.91651286116689,18 days
2024-09-01,2024-09-02,2426.6883925781253,2539.4563494873046,short,0.9492517784534827,-107.04518364860411,-4.646989586881983,1 days
2024-09-02,2024-09-03,2539.4563494873046,2419.3934578857425,long,0.8652902944138515,-103.88925482209402,-4.727897434653753,1 days
2024-09-03,2024-09-11,2419.3934578857425,2341.0114735107422,short,0.865752459986042,67.85939579124395,3.239736972898018,8 days
2024-09-11,2024-10-02,2341.0114735107422,2364.0490736083984,long,0.9206050557891973,21.208531123152,0.984087449307005,21 days
2024-10-02,2024-10-14,2364.0490736083984,2630.214352294922,short,0.9184158652114581,-244.45041471413225,-11.258872823661752,12 days
2024-10-14,2024-10-24,2630.214352294922,2533.231285888672,long,0.7355274331336817,-71.33370589122224,-3.6872685422627156,10 days
2024-10-24,2024-10-30,2533.231285888672,2658.7012448730466,short,0.7355111385986234,-92.28455239251983,-4.952961053469655,6 days
2024-10-30,2024-10-31,2658.7012448730466,2514.541416748047,long,0.6664613852589825,-96.07695875088393,-5.422189815534655,1 days
2024-10-31,2024-11-07,2514.541416748047,2897.0332419433594,short,0.667069237561731,-255.14853020663182,-15.21119607128894,7 days
2024-11-07,2024-11-20,2897.0332419433594,3070.6518942871094,long,0.4941443891746342,85.79268291172552,5.992981020379484,13 days
2024-11-20,2024-11-21,3070.6518942871094,3362.734482055664,short,0.4918350790965733,-143.65646265787893,-9.512070981147975,1 days
2024-11-21,2024-12-10,3362.734482055664,3630.017823364258,long,0.4076369181843312,108.95455753304604,7.948392676700477,19 days
2024-12-10,2025-01-03,3630.017823364258,3606.812270507812,short,0.40539017806542704,9.407303204581343,0.6392682897336138,24 days
2025-01-03,2025-01-09,3606.812270507812,3217.820948730469,long,0.4097034572809206,-159.3710893844526,-10.78490624416602,6 days
2025-01-09,2025-01-17,3217.820948730469,3475.844231323242,short,0.4113543516347385,-106.13900011761716,-8.018571782080402,8 days
2025-01-17,2025-01-19,3475.844231323242,3207.359873291016,long,0.35105623953126386,-94.25310910375883,-7.72429200401812,2 days
2025-01-19,2025-01-21,3207.359873291016,3329.0699531249998,short,0.3518306409322214,-42.82133539590237,-3.7947123067639823,2 days
2025-01-21,2025-01-27,3329.0699531249998,3177.330949951172,long,0.3260918202678943,-49.480847750589284,-4.557999841108484,6 days
2025-01-27,2025-01-31,3177.330949951172,3299.914269287109,short,0.32623610567176564,-39.991104720474596,-3.8580595243885747,4 days
2025-01-31,2025-02-01,3299.914269287109,3116.7694489746095,long,0.3019960486974307,-55.30901207377583,-5.54998722291246,1 days
2025-02-01,2025-02-14,3116.7694489746095,2727.454598510742,short,0.30229267895725614,117.68702910456608,12.490973645546633,13 days
2025-02-14,2025-02-26,2727.454598510742,2330.2869104003908,long,0.3858179460842472,-153.2344216777646,-14.561844157817132,12 days
2025-02-26,2025-03-17,2330.2869104003908,1927.9664311523436,short,0.38831030957357254,156.22518984459725,17.26484740794945,19 days
2025-03-17,2025-04-06,1927.9664311523436,1575.9396633300782,long,0.5455061340497204,-192.03276119674248,-18.258967694362777,20 days
2025-04-06,2025-04-14,1575.9396633300782,1623.581282409668,short,0.5504465553657844,-26.22416511440895,-3.0230611100249454,8 days
2025-04-14,2025-05-23,1623.581282409668,2525.1786735839846,long,0.5179195549842874,466.9549196119966,55.5313984549141,39 days
2025-05-23,2025-06-11,2525.1786735839846,2774.9160615234373,short,0.5078652035988456,-126.83292937211401,-9.889889794808084,19 days
2025-06-11,2025-06-12,2774.9160615234373,2650.4692684326174,long,0.41781514307716316,-51.99575466073505,-4.484704774186873,1 days
2025-06-12,2025-06-30,2650.4692684326174,2487.707587646484,short,0.4179835358964508,68.03170284343737,6.140862779457315,18 days
2025-06-30,2025-07-01,2487.707587646484,2404.5898282470703,long,0.4704903222766103,-39.10610140674,-3.3411386375216274,1 days
2025-07-01,2025-07-02,2404.5898282470703,2572.621116943359,short,0.4703940960573077,-79.04092615563528,-6.987939760968817,1 days
2025-07-02,2025-07-30,2572.621116943359,3806.297559326172,long,0.40961795102568455,505.33601655750385,47.954066545508134,28 days
2025-07-30,2025-08-09,3806.297559326172,4265.730920654297,short,0.402327644891336,-184.8427422476546,-12.07034800005121,10 days
2025-08-09,2025-08-19,4265.730920654297,4071.427379272461,long,0.31710694664705463,-61.61500273030353,-4.554988230528908,10 days
2025-08-19,2025-08-23,4071.427379272461,4778.478377197265,short,0.31724674230393407,-224.30962573438973,-17.366169946303934,4 days
2025-08-23,2025-08-25,4778.478377197265,4370.8012990722655,long,0.22515236433950633,-91.78945802686533,-8.531525015796259,2 days
2025-08-25,2025-09-12,4370.8012990722655,4717.603716796874,short,0.22575465437001915,-78.29225994810608,-7.934527195235807,18 days
2025-09-12,2025-09-19,4717.603716796874,4468.681533691407,long,0.1929797376056529,-48.03693757991939,-5.276453853450811,7 days
2025-09-19,2025-10-02,4468.681533691407,4490.167790039062,short,0.19314034835901167,-4.149863035917189,-0.48081869754335405,13 days
2025-10-02,2025-10-10,4490.167790039062,3841.087284667969,long,0.19097204799906656,-123.95623342698681,-14.455595775529954,8 days
2025-10-10,2025-10-26,3841.087284667969,4160.068252441406,short,0.19219210011510068,-61.30562209312411,-8.304444656768853,16 days
2025-10-26,2025-11-03,4160.068252441406,3600.506951416016,long,0.16310439609671093,-91.26690808283612,-13.450772128486166,8 days
2025-11-03,2025-11-25,3600.506951416016,2959.4152474365233,short,0.1640378342803065,105.16329469586732,17.805595507248295,22 days
2025-11-25,2025-12-17,2959.4152474365233,2829.9878626708987,long,0.23298596623801957,-30.154764297278966,-4.3734107566599825,22 days
2025-12-17,2025-12-22,2829.9878626708987,3007.576767333984,short,0.23306594220688404,-41.38992539079052,-6.27525322654493,5 days
2025-12-22,2025-12-25,3007.576767333984,2902.1278000488282,long,0.20580051509348635,-21.701451783361286,-3.506110581464207,3 days
2025-12-25,2025-12-27,2902.1278000488282,2949.4722901611326,short,0.20577627886148875,-9.742372999904537,-1.6313716477788394,2 days
2025-12-27,2026-01-20,2949.4722901611326,2934.1379100341796,long,0.19894741598850849,-3.050735302042829,-0.5199024984267688,24 days
2026-01-20,2026-02-14,2934.1379100341796,2087.0527705078125,short,0.1986204150573905,168.24840200167458,28.86998380783334,25 days
2026-02-14,2026-03-26,2087.0527705078125,2058.5485799560547,long,0.355366302414838,-10.129428799706131,-1.3657628093813021,40 days
2026-03-26,2026-04-05,2058.5485799560547,2110.050103271484,short,0.3549324650787894,-18.279562625658137,-2.501836673513381,10 days
2026-04-05,2026-04-24,2110.050103271484,2314.532340454102,long,0.33737328981616266,68.98684506726856,9.690871172470374,19 days
2026-04-24,2026-04-29,2314.532340454102,2302.110440917969,short,0.3352702985091776,4.164693965530315,0.5366915518534445,5 days
