entry_time,exit_time,entry_price,exit_price,direction,size,pnl,pnl_pct,duration
2024-05-20,2024-06-07,3662.023541015625,3680.46846496582,short,0.5707227101605031,-10.526936985559699,-0.5036811954813253,18 days
2024-06-11,2024-06-13,3500.0797316894527,3467.546609375,long,0.5931346050426997,-19.29652065478869,-0.9294966060315777,2 days
2024-06-13,2024-07-04,3471.015890625,3052.9947116699223,long,0.5916886226063139,-247.33837559619735,-12.043194042531672,21 days
2024-07-04,2024-07-07,3056.0492336425777,2927.9225134277344,long,0.5939439590388653,-76.10009146306906,-4.192560735094115,3 days
2024-07-07,2024-07-14,2930.8519006347656,3242.457062011719,long,0.5934965382945471,184.93658459193543,10.631897207411455,7 days
2024-08-02,2024-08-21,2987.5061901855465,2630.079810058594,long,0.6398847216782309,-228.71167976799262,-11.964038143290132,19 days
2024-08-27,2024-09-06,2459.95592578125,2222.764526611328,long,0.6873979230423372,-163.04487515291007,-9.642099546746666,10 days
2024-09-06,2024-09-19,2224.988403076172,2463.519821166992,long,0.6890004518430154,164.34825484333044,10.720569049305482,13 days
2024-09-20,2024-09-23,2559.7914854736327,2649.870659912109,short,0.6586786469380802,-59.333228736434975,-3.5190043778823377,3 days
2024-09-23,2024-10-01,2647.222113525391,2450.145603149414,short,0.6144000905452911,121.08382581935014,7.444653373400681,8 days
2024-10-20,2024-10-23,2744.9908316650394,2510.3534263916013,short,0.6333383298369751,148.60486237316078,8.547839306665853,3 days
2024-11-07,2024-11-27,2894.1376564941406,3659.077892211914,short,0.6483867598284322,-495.9771208994442,-26.430679066053674,20 days
2024-11-27,2024-12-10,3655.420642944336,3633.649657104492,short,0.38335005525444155,8.345908624647993,0.5955808637746391,13 days
2024-12-19,2024-12-21,3419.6369425048824,3335.5538009033203,long,0.411324298475636,-34.58543923289012,-2.4588324145302773,2 days
2024-12-21,2025-01-03,3338.8910233154297,3603.207260742188,long,0.41064052231197795,108.53895779246072,7.916288240048612,13 days
2025-01-28,2025-01-31,3078.651105102539,3296.616004150391,long,0.4779651028656621,104.17961539451011,7.079883091870916,3 days
2025-02-02,2025-02-06,2870.1272175292966,2687.056678466797,long,0.546165208200189,-99.98675908239082,-6.378481690442027,4 days
2025-02-06,2025-02-20,2689.745079345703,2739.0162813720704,long,0.5464059906664362,26.922079954543467,1.8318167920341748,14 days
2025-02-23,2025-02-24,2819.899647583008,2515.078199707031,short,0.5292567094056561,161.32879645910725,10.809655873294833,1 days
2025-02-24,2025-03-03,2515.078199707031,2144.5011876220706,long,0.6532722405936698,-242.0876749972497,-14.73421431302324,7 days
2025-03-03,2025-03-24,2146.6467615966794,2076.440264404297,long,0.6569109224665297,-46.11941483379172,-3.2705193256930007,21 days
2025-04-06,2025-04-22,1577.5163913574218,1756.4529992065432,long,0.8644644108645407,154.6843292863901,11.34293176473114,16 days
2025-05-08,2025-05-13,2205.4113911132813,2681.4697034912106,short,0.6837358797507745,-325.4981490263925,-21.58591881298016,5 days
2025-05-13,2025-05-30,2678.7895738525394,2531.208575317383,short,0.44629163808247757,65.86416558610276,5.50924193433047,17 days
2025-06-05,2025-06-09,2417.4937873535155,2680.1763312988282,long,0.519498098068154,136.46308197529424,10.865903578303596,4 days
2025-06-10,2025-06-13,2812.110819335938,2580.775827026367,short,0.491804065669855,113.7714897495515,8.226382499541714,3 days
2025-06-21,2025-06-29,2301.645853271484,2499.7094809570312,long,0.6467419024566314,128.09604737681266,8.605304217589598,8 days
2025-07-09,2025-07-16,2769.3921990966796,3373.1925893554685,short,0.580384420689635,-350.43633971252274,-21.802632016358555,7 days
2025-07-16,2025-08-01,3369.8210825195315,3490.1101497802733,short,0.3771745519407924,-45.36997504744614,-3.5695980384455512,16 days
2025-08-08,2025-08-12,4007.8439525146487,4593.220267089843,short,0.3057632166395941,-178.9865448891424,-14.605766130388156,4 days
2025-08-12,2025-08-29,4588.629342285157,4362.332908447265,short,0.22946190853850648,51.92641160390045,4.931678219300122,17 days
2025-09-12,2025-09-22,4712.888470703126,4204.978880126953,short,0.23346500446229537,118.5791148303087,10.777033951333804,10 days
2025-09-25,2025-10-01,3870.2681513671873,4348.936748535157,long,0.3128896319652185,149.7704412011934,12.367840636542919,6 days
2025-11-03,2025-12-02,3604.109259521484,2996.4407274169926,long,0.37479595666089693,-227.75170882282586,-16.86043591767169,29 days
2025-12-09,2025-12-14,3319.454432739258,3062.125023925781,short,0.34104739526198274,87.76152460014228,7.75215970056638,5 days
2026-01-02,2026-01-13,3122.8603961181643,3323.756506713867,short,0.3885531155527207,-78.05880967438426,-6.433080096869665,11 days
2026-01-13,2026-01-20,3320.434411254883,2937.0735157470704,short,0.34238341009703854,131.2564107018193,11.545504233072021,7 days
